city,timestamp,temperature,season
New York,2010-01-01,1.5726671865413913,winter
New York,2010-01-02,-6.3707248479919425,winter
New York,2010-01-03,-0.5413592634425115,winter
New York,2010-01-04,-2.697696815030067,winter
New York,2010-01-05,-8.927543737467396,winter
New York,2010-01-06,6.17726869899591,winter
New York,2010-01-07,7.33696103162035,winter
New York,2010-01-08,7.466398379655786,winter
New York,2010-01-09,7.747549379087627,winter
New York,2010-01-10,2.867777467308365,winter
New York,2010-01-11,1.5941792304325277,winter
New York,2010-01-12,0.03937364437738882,winter
New York,2010-01-13,-2.1818711516046743,winter
New York,2010-01-14,0.5275125778550223,winter
New York,2010-01-15,-7.288235598968196,winter
New York,2010-01-16,2.1613090902732153,winter
New York,2010-01-17,-0.1182482740058868,winter
New York,2010-01-18,-7.962720098240127,winter
New York,2010-01-19,-1.732626028654004,winter
New York,2010-01-20,-2.701942719120869,winter
New York,2010-01-21,1.288148760319966,winter
New York,2010-01-22,-0.5265201549162342,winter
New York,2010-01-23,-6.41712764328097,winter
New York,2010-01-24,1.7501269398702843,winter
New York,2010-01-25,-1.528368343703408,winter
New York,2010-01-26,-0.8569098890981954,winter
New York,2010-01-27,-1.909513196705304,winter
New York,2010-01-28,-0.7586545637362403,winter
New York,2010-01-29,6.999603352960363,winter
New York,2010-01-30,-10.009809483691381,winter
New York,2010-01-31,0.7518786000917126,winter
New York,2010-02-01,-2.3270026996562883,winter
New York,2010-02-02,5.579344352742036,winter
New York,2010-02-03,2.6035094539793944,winter
New York,2010-02-04,5.764364270948913,winter
New York,2010-02-05,1.1425591197956928,winter
New York,2010-02-06,1.1866471684436775,winter
New York,2010-02-07,-1.5620941093967176,winter
New York,2010-02-08,-4.0847596142836196,winter
New York,2010-02-09,1.8738238500109268,winter
New York,2010-02-10,7.046583440207701,winter
New York,2010-02-11,-3.6474955378364813,winter
New York,2010-02-12,2.9982783238501987,winter
New York,2010-02-13,-9.762804065531522,winter
New York,2010-02-14,-6.052938084468794,winter
New York,2010-02-15,-4.48605832042501,winter
New York,2010-02-16,-2.257454899923243,winter
New York,2010-02-17,-2.1345629642730968,winter
New York,2010-02-18,2.0913797079263685,winter
